1,Televízia Samsung LED 155 palcov,155-palcová televízia s LED technológiou a rozlíšením 7K Ultra HD. Skvelá voľba pre domáce zábavu.,Televízia,1899.59, recenzie 4 z 10
2,Televízia Sony LED 55 palcov,55-palcová televízia s LED technológiou a rozlíšením 4K Ultra HD. Skvelá voľba pre domáce zábavu.,Televízia,799.99, recenzie 8 z 10
3,Notebook Lenovo ThinkPad,Tenko vrstvený notebook s výkonným procesorom Intel Core i7 a operačnou pamäťou 16 GB. Ideálny pre profesionálne využitie.,Notebook,1299.99, recenzie 4 z 10
4,Notebook MacAir,Tenko vrstvený notebook s výkonným procesorom Intel Core i7 a operačnou pamäťou 16 GB. Ideálny pre domáce využitie.,Notebook,2277.88, recenzie 4 z 10
5,Notebook MacPro,Notebook s výkonným procesorom Intel M2 a operačnou pamäťou 32 GB. Ideálny pre profesionálne využitie.,Notebook,4277.88, recenzie 10 z 10
6,Chytrý telefón Samsung Galaxy S20,Chytrý telefón s výkonným procesorom a špičkovým fotoaparátom a podporou 5G sietí. Ideálny pre multitasking a mobilné fotografovanie.,Chytrý telefón,999.99, recenzie 4 z 10
7,Chytrý telefón iPhone 15,Chytrý telefón s výkonným procesorom a špičkovým fotoaparátom a podporou 5G sietí. Ideálny pre multitasking a mobilné fotografovanie.,Chytrý telefón,1099.99, recenzie 7 z 10
8,Bezdrôtové slúchadlá Sony,Bezdrôtové slúchadlá s výborným zvukom a dlhou výdržou batérie. Ideálne pre počúvanie hudby a hovory bez obmedzenia káblov.,Slúchadlá,129.88, recenzie 4 z 10
9,Bezdrôtové slúchadlá Pioneer,Bezdrôtové slúchadlá s výborným zvukom a dlhou výdržou batérie. Ideálne pre počúvanie hudby a hovory bez obmedzenia káblov.,Slúchadlá,229.99, recenzie 4 z 10
10,Slúchadlá Pioneer,Bezdrôtové slúchadlá s výborným zvukom a pripojené káblom. Ideálne pre počúvanie hudby.,Slúchadlá,409.21, recenzie 9 z 10
