ID,Názov,Popis,Kategória,Cena,Recenzie,Text,Predikovaná Kategória
1,televízia samsung led 155 palcov,155palcová televízia s led technológiou a rozlíšením 7k ultra hd skvelá voľba pre domáce zábavu,Televízia,1899.59, recenzie 4 z 10,televízia samsung led 155 palcov 155palcová televízia s led technológiou a rozlíšením 7k ultra hd skvelá voľba pre domáce zábavu,Televízia
2,televízia sony led 55 palcov,55palcová televízia s led technológiou a rozlíšením 4k ultra hd skvelá voľba pre domáce zábavu,Televízia,799.99, recenzie 8 z 10,televízia sony led 55 palcov 55palcová televízia s led technológiou a rozlíšením 4k ultra hd skvelá voľba pre domáce zábavu,Notebook
3,notebook lenovo thinkpad,tenko vrstvený notebook s výkonným procesorom intel core i7 a operačnou pamäťou 16 gb ideálny pre profesionálne využitie,Notebook,1299.99, recenzie 4 z 10,notebook lenovo thinkpad tenko vrstvený notebook s výkonným procesorom intel core i7 a operačnou pamäťou 16 gb ideálny pre profesionálne využitie,Notebook
4,notebook macair,tenko vrstvený notebook s výkonným procesorom intel core i7 a operačnou pamäťou 16 gb ideálny pre domáce využitie,Notebook,2277.88, recenzie 4 z 10,notebook macair tenko vrstvený notebook s výkonným procesorom intel core i7 a operačnou pamäťou 16 gb ideálny pre domáce využitie,Notebook
5,notebook macpro,notebook s výkonným procesorom intel m2 a operačnou pamäťou 32 gb ideálny pre profesionálne využitie,Notebook,4277.88, recenzie 10 z 10,notebook macpro notebook s výkonným procesorom intel m2 a operačnou pamäťou 32 gb ideálny pre profesionálne využitie,Notebook
6,chytrý telefón samsung galaxy s20,chytrý telefón s výkonným procesorom a špičkovým fotoaparátom a podporou 5g sietí ideálny pre multitasking a mobilné fotografovanie,Chytrý telefón,999.99, recenzie 4 z 10,chytrý telefón samsung galaxy s20 chytrý telefón s výkonným procesorom a špičkovým fotoaparátom a podporou 5g sietí ideálny pre multitasking a mobilné fotografovanie,Chytrý telefón
7,chytrý telefón iphone 15,chytrý telefón s výkonným procesorom a špičkovým fotoaparátom a podporou 5g sietí ideálny pre multitasking a mobilné fotografovanie,Chytrý telefón,1099.99, recenzie 7 z 10,chytrý telefón iphone 15 chytrý telefón s výkonným procesorom a špičkovým fotoaparátom a podporou 5g sietí ideálny pre multitasking a mobilné fotografovanie,Chytrý telefón
8,bezdrôtové slúchadlá sony,bezdrôtové slúchadlá s výborným zvukom a dlhou výdržou batérie ideálne pre počúvanie hudby a hovory bez obmedzenia káblov,Slúchadlá,129.88, recenzie 4 z 10,bezdrôtové slúchadlá sony bezdrôtové slúchadlá s výborným zvukom a dlhou výdržou batérie ideálne pre počúvanie hudby a hovory bez obmedzenia káblov,Slúchadlá
9,bezdrôtové slúchadlá pioneer,bezdrôtové slúchadlá s výborným zvukom a dlhou výdržou batérie ideálne pre počúvanie hudby a hovory bez obmedzenia káblov,Slúchadlá,229.99, recenzie 4 z 10,bezdrôtové slúchadlá pioneer bezdrôtové slúchadlá s výborným zvukom a dlhou výdržou batérie ideálne pre počúvanie hudby a hovory bez obmedzenia káblov,Slúchadlá
10,slúchadlá pioneer,bezdrôtové slúchadlá s výborným zvukom a pripojené káblom ideálne pre počúvanie hudby,Slúchadlá,409.21, recenzie 9 z 10,slúchadlá pioneer bezdrôtové slúchadlá s výborným zvukom a pripojené káblom ideálne pre počúvanie hudby,Slúchadlá
